Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Maneater,Nelly Furtado,Loose,2yboV2QBcVGEhcRlYuPpDT,4wH4dJgrsxONID6KS2tDQM,83,2006-01-01,258893,False,https://open.spotify.com/track/4wH4dJgrsxONID6KS2tDQM,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722
Stargirl Interlude,"The Weeknd,Lana Del Rey",Starboy,2ODvWsOgouMbaA5xf0RkJe,4EDijkJdHBZZ0GwJ12iTAj,76,2016-11-25,111640,False,https://open.spotify.com/track/4EDijkJdHBZZ0GwJ12iTAj,0.638,0.474,5,-12.7,0,0.124,0.351,0.191,0.105,0.441,179.771
Only Girl (In The World),Rihanna,Loud (Japan Version),5QG3tjE5L9F6O2vCAPph38,2ENexcMEMsYk0rVJigVD3i,84,2010-01-01,235493,False,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
My Humps,Black Eyed Peas,Monkey Business,2szeSQtOcJgRhDXmTS3SIf,19JdbdEwQI7bCxefMokZO8,67,2005-01-01,326960,False,https://open.spotify.com/track/19JdbdEwQI7bCxefMokZO8,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95
What's My Name?,"Rihanna,Drake",Loud (Japan Version),5QG3tjE5L9F6O2vCAPph38,6DkXLzBQT7cwXmTyzAB1DJ,76,2010-01-01,263173,True,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,0.689,0.784,2,-2.972,1,0.074,0.182,0.0,0.0843,0.561,99.954
S&M,Rihanna,Loud (Japan Version),5QG3tjE5L9F6O2vCAPph38,7ySUcLPVX7KudhnmNcgY2D,83,2010-01-01,243600,True,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972
Black Barbies,"Nicki Minaj,Mike WiLL Made-It",Black Barbies,0bfNmMmjV6nvDwwhUvL7e8,3y9cCbnBn0zjkJa2YkOj70,61,2016-11-30,254080,True,https://open.spotify.com/track/3y9cCbnBn0zjkJa2YkOj70,0.809,0.588,0,-5.167,1,0.0869,0.0878,7.24e-05,0.171,0.249,146.024
Bonfire,Childish Gambino,Camp,32KdoFFhgjCLdU0DWL71tx,799f6Ih1Pu4AUApMyXhxUc,0,2011-11-15,192947,True,https://open.spotify.com/track/799f6Ih1Pu4AUApMyXhxUc,0.506,0.745,8,-6.044,1,0.331,0.0594,0.0,0.341,0.311,161.808
Thot Shit,Megan Thee Stallion,Thot Shit,7gEGuvkVs79hY4tG7OYnzx,5zNW5ARjYhJQJz1AChP33n,66,2021-06-11,184635,True,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02
Maneater,Nelly Furtado,Loose,1E7rOrC4uJb0YHyGJ6YOlC,1M9uq2yCiOhsO6BFozo2OE,0,2006-01-01,258840,False,https://open.spotify.com/track/1M9uq2yCiOhsO6BFozo2OE,0.792,0.77,6,-4.811,1,0.0392,0.0318,0.000194,0.122,0.732,132.793
